,compounds,number_chiral_centers,weight
757,C02505,0,135.1632
758,C02512,1,114.1026
759,C02514,0,186.1189
760,C02520,4,0.0
761,C02530,8,0.0
762,C02532,1,185.0725
763,C02538,4,350.4293
764,C02553,13,0.0
765,C02554,13,0.0
766,C02571,1,204.2435
767,C02576,0,150.2176
768,C02583,1,0.0
769,C02588,0,524.8604
770,C02593,5,977.8898
771,C02630,0,148.114
772,C02631,0,158.1519
773,C02637,2,172.1354
774,C02646,0,150.1745
775,C02659,0,85.1045
776,C02670,4,176.1241
777,C02686,7,0.0
778,C02687,6,0.0
779,C02693,0,174.1992
780,C02700,1,236.22400000000002
781,C02702,13,0.0
782,C02714,0,130.1882
783,C02723,0,102.1781
784,C02729,-1,0.0
785,C02737,1,0.0
786,C02739,8,719.2755
787,C02741,8,559.3157
788,C02743,1,0.0
789,C02764,12,0.0
790,C02782,3,180.1559
791,C02835,0,126.1133
792,C02839,13,0.0
793,C02843,5,0.0
794,C02846,0,121.1796
795,C02863,6,0.0
796,C02871,1,0.0
797,C02872,2,0.0
798,C02876,0,154.0584
799,C02909,0,158.1965
800,C02918,0,137.1592
801,C02923,0,124.1372
802,C02929,0,0.0
803,C02934,1,299.4919
804,C02938,0,156.1839
805,C02939,5,851.6505
806,C02944,5,947.8207
807,C02946,0,145.1564
808,C02953,2,239.2312
809,C02960,2,0.0
810,C02962,4,260.1358
811,C02965,0,260.1358
812,C02967,9,0.0
813,C02972,1,0.0
814,C02984,13,0.0
815,C02987,13,0.0
816,C02988,13,0.0
817,C02989,1,165.2107
818,C02991,4,162.1406
819,C02992,14,0.0
820,C03012,0,160.1693
821,C03021,1,0.0
822,C03022,1,0.0
823,C03023,1,0.0
824,C03024,-1,0.0
825,C03028,0,505.2943
826,C03033,5,0.0
827,C03069,5,849.6347
828,C03078,0,144.175
829,C03081,0,176.1687
830,C03082,1,213.0826
831,C03090,4,229.125
832,C03103,-1,0.0
833,C03120,1,0.0
834,C03125,13,0.0
835,C03127,14,0.0
836,C03150,4,255.2472
837,C03157,-1,0.0
838,C03161,-1,0.0
839,C03170,4,721.8464
840,C03172,1,164.2459
841,C03175,3,254.1312
842,C03189,0,172.0737
843,C03193,3,0.0
844,C03195,1,300.4766
845,C03197,1,104.1045
846,C03201,1,0.0
847,C03203,0,188.1794
848,C03205,6,330.4611
849,C03221,5,947.8207
850,C03227,1,224.2133
851,C03231,5,893.6442
852,C03232,0,184.0414
853,C03238,8,386.6535
854,C03245,-1,0.0
855,C03263,0,660.7566
856,C03269,4,178.14
857,C03272,22,0.0
858,C03273,0,116.1152
859,C03284,1,103.1198
860,C03287,1,227.1092
861,C03294,13,0.0
862,C03297,13,0.0
863,C03306,1,0.0
864,C03313,2,452.7116
865,C03344,5,865.6341
866,C03345,5,849.6347
867,C03356,2,216.0832
868,C03360,0,219.0887
869,C03363,1,0.0
870,C03372,0,0.0
871,C03373,4,295.1864
872,C03402,13,0.0
873,C03406,2,290.2731
874,C03427,3,722.9112
875,C03428,3,586.6772
876,C03446,12,0.0
877,C03451,3,379.3861
878,C03454,0,0.0
879,C03455,0,524.8604
880,C03460,5,835.6081
881,C03461,0,220.3505
882,C03463,12,0.0
883,C03479,2,473.4393
884,C03492,1,299.2149
885,C03506,2,287.2057
886,C03508,1,117.1033
887,C03511,0,0.0
888,C03512,13,0.0
889,C03523,0,0.0
890,C03541,4,0.0
891,C03546,6,260.1358
892,C03557,0,125.0636
893,C03585,0,176.5545
894,C03588,7,362.4599
895,C03620,0,0.0
896,C03633,1,0.0
897,C03638,12,0.0
898,C03640,2,465.6273
899,C03680,0,156.1393
900,C03681,7,316.4776
901,C03692,6,0.0
902,C03715,0,0.0
903,C03722,0,167.1189
904,C03723,4,0.0
905,C03735,1,260.1358
906,C03740,2,0.0
907,C03741,1,131.1299
908,C03742,1,149.1467
909,C03758,0,153.1784
910,C03761,0,162.1406
911,C03765,0,136.1479
912,C03785,3,340.1157
913,C03793,1,188.2673
914,C03794,5,463.2934
915,C03798,1,0.0
916,C03800,1,0.0
917,C03837,0,218.2054
918,C03838,4,286.1764
919,C03845,7,386.6535
920,C03862,5,0.0
921,C03880,13,0.0
922,C03881,1,0.0
923,C03885,0,751.1739
924,C03892,2,0.0
925,C03895,2,0.0
926,C03899,2,0.0
927,C03912,1,113.1146
928,C03917,7,290.4403
929,C03921,2,192.1235
930,C03922,5,0.0
931,C03926,2,178.14
932,C03939,0,0.0
933,C03959,-1,0.0
934,C03968,1,0.0
935,C03979,2,162.1406
936,C03998,4,378.2551
937,C04002,0,188.1348
938,C04006,6,260.1358
939,C04036,0,410.4825
940,C04039,0,134.1305
941,C04043,0,152.1473
942,C04047,5,853.6234
943,C04051,0,126.1166
944,C04076,1,145.1564
945,C04079,2,322.3779
946,C04087,1,0.0
947,C04090,-1,0.0
948,C04112,0,156.136
949,C04133,1,269.1458
950,C04143,1,0.0
951,C04144,4,703.6572
952,C04145,0,791.0283
953,C04146,0,722.9112
954,C04154,12,0.0
955,C04155,12,0.0
956,C04157,12,0.0
957,C04181,0,132.1146
958,C04188,4,260.202
959,C04213,10,0.0
960,C04215,1,0.0
961,C04217,0,518.5602
962,C04225,0,188.1348
963,C04230,0,0.0
964,C04232,3,0.0
965,C04233,1,0.0
966,C04236,1,174.1513
967,C04242,3,326.1723
968,C04246,0,0.0
969,C04248,11,0.0
970,C04250,9,0.0
971,C04253,-1,0.0
972,C04272,1,134.1305
973,C04281,2,129.114
974,C04294,0,143.2068
975,C04299,6,242.1205
976,C04302,4,349.2305
977,C04308,0,0.0
978,C04309,0,198.0679
979,C04311,1,0.0
980,C04312,12,0.0
981,C04317,1,0.0
982,C04322,0,113.1146
