,compounds,number_chiral_centers,weight
1265,C07585,0,179.176
1266,C07645,0,277.0854
1267,C07649,0,130.0772
1268,C07836,6,290.1618
1269,C07838,6,290.1618
1270,C08249,3,277.191
1271,C08276,0,120.1701
1272,C08492,0,100.1589
1273,C09306,0,64.0638
1274,C09332,3,574.5432
1275,C09814,0,103.1213
1276,C09815,0,121.1366
1277,C09819,7,973.7288
1278,C09820,6,971.7129
1279,C11004,0,121.1796
1280,C11038,3,417.20300000000003
1281,C11039,3,497.1829
1282,C11088,0,187.8612
1283,C11145,0,96.1057
1284,C11173,1,392.4046
1285,C11215,0,138.9192
1286,C11278,2,635.5965
1287,C11355,2,225.19799999999998
1288,C11434,2,216.1263
1289,C11435,6,521.3075
1290,C11436,6,601.2874
1291,C11437,2,214.1104
1292,C11439,3,0.0
1293,C11440,3,0.0
1294,C11453,2,278.0909
1295,C11457,0,166.1739
1296,C11472,6,370.1417
1297,C11475,9,0.0
1298,C11477,-1,0.0
1299,C11478,12,0.0
1300,C11514,0,188.1348
1301,C11529,1,0.0
1302,C11537,1,170.1411
1303,C11538,4,919.7492
1304,C11539,4,935.7916
1305,C11540,5,949.8182
1306,C11542,6,952.842
1307,C11543,8,954.8579
